Internal ID,Address Internal ID,Addressee,Address Label
7502,2153363,SLA6,
7502,2153365,SMA2,
7502,2153367,SNJ1,
7502,2153369,SNY2,
7502,2153371,USF4,
7502,2153373,UCA9,
7502,2153375,UTX5,
7502,2153377,UOR1,
7502,2153378,TOH1,
7502,2153380,SVA1,
7502,2153382,STX4,
7502,2153384,SPA1,
7502,2153386,TUL2,
7502,2153388,YYZ9,
7502,2153390,UVA1,
7502,2153392,UIL1,
7502,2153394,UCA3,
7502,2153396,MAB1,
7502,2153398,MAB9,
7502,2153400,ICH6,
7502,2153402,UCA8,
7502,2153404,IBF1,
7502,2153406,XUXC,
7502,2153408,VUCG,
7502,2153410,KNJ2,
7502,2153412,AFW1,
7502,2153414,VOPE,
7502,2153416,AZA4,
7502,2153418,BFI2,
7502,2153420,CSG1,
7502,2153422,DCA6,
7502,2153424,DEV2,
7502,2153426,GYR1,
7502,2153428,HOU7,
7502,2153430,KRB2,
7502,2153432,MEM4,
7502,2153434,MQJ1,
7502,2153436,QAE1,
7502,2153438,SBD2,
7502,2153440,TPA6,
7502,2153442,XLX1,
7502,2153444,INY3,
7502,2153446,MQJ2,
7502,2153448,MAB4,
7502,2153450,VUCF,
7502,2153452,FDP1,
7502,2153454,HMW1,
7502,2153456,HNW1,
7502,2153458,RDG2,
7502,2153460,TEN1,
7502,2153462,TTN2,
7502,2153464,XEW2,
7502,2153466,XLA2,
7502,2153468,YTZ1,
7502,2153470,KPA1,
7502,2153472,VHNB,
7502,2153474,VHND,
7502,2153476,VHNF,
7502,2153478,MAB2,
7502,2153480,MAE6,
7502,2153482,ICH1,
7502,2153484,INY1,
7502,2153486,ILG2,
7502,2153488,INY9,
7502,2153490,INY5,
7502,2153492,ISF2,
7502,2153494,ISF4,
7502,2153496,ISE7,
7502,2153498,XUXD,
7502,2153500,XUSI,
7502,2153502,FLJ1,
7502,2153504,XUSS,
7502,2153506,HDA9,
7502,2153508,HPD9,
7502,2153510,HAT9,
7502,2153512,HRC9,
7502,2153514,HTP9,
7502,2153516,MAB3,
7502,2153518,MAC2,
7502,2153520,AGS1,
7502,2153522,ASH1,
7502,2153524,AUS3,
7502,2153526,BUR7,
7502,2153528,DET3,
7502,2153530,DPA7,
7502,2153532,FOE1,
7502,2153534,GYR2,
7502,2153536,HEA2,
7502,2153538,HIL3,
7502,2153540,HMW3,
7502,2153542,HOU6,
7502,2153544,HWE1,
7502,2153546,IAH1,
7502,2153548,ICT2,
7502,2153550,IGQ2,
7502,2153552,KRB4,
7502,2153554,LUK7,
7502,2153556,MEM3,
7502,2153558,MQY1,
7502,2153560,MTN7,
